                   i   I
                   m   n     M M R R
           o       m   s     e e e e
           p       | i t     m m g g
           c       v n R l l R W R W
    c      o       a c e d d e r e r                                                                         B
    l inst d R R R l P a I P a i a i                                                                         E brnh
tim k addr e S T D u C d R C d t d t S0~S7    R0       R1       R2       R3       ALUout   data     T0-7     Q addr
-e- - ---- --------e - - - - - e - e -------- -------- -------- -------- -------- -------- -------- -------- - --------
 61 0    3 3-2-3-1-X 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 62 1    4 3-2-3-1-X 1 0 0 0 0 0 0 1 00000100 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 63 0    4 3-2-3-1-X 1 0 0 0 0 0 0 1 00000100 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 64 1    4 3-2-3-1-X 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 65 0    4 3-2-3-1-X 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 66 1    4 3-2-3-1-X 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 67 0    4 3-2-3-1-X 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 68 1    4 4-2-3-1-X 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 69 0    4 4-2-3-1-X 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 70 1    4 4-2-3-1-X 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 71 0    4 4-2-3-1-X 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 72 1    4 4-2-3-1-X 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 73 0    4 4-2-3-1-X 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 74 1    4 4-2-3-1-X 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 75 0    4 4-2-3-1-X 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 76 1    4 4-2-3-1-X 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 77 0    4 4-2-3-1-X 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 78 1    5 4-2-3-1-X 1 0 0 0 0 0 0 1 00000100 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 79 0    5 4-2-3-1-X 1 0 0 0 0 0 0 1 00000100 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 80 1    5 4-2-3-1-X 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 81 0    5 4-2-3-1-X 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 82 1    5 4-2-3-1-X 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 83 0    5 4-2-3-1-X 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000002 00000002 00000002 00000002 xxxxxxxx 00001000 1 xxxxxxxx
 84 1    5 6-0-1-0-0 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 1 00000005
 85 0    5 6-0-1-0-0 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 1 00000005
 86 1    5 6-0-1-0-0 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 1 00000005
 87 0    5 6-0-1-0-0 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 1 00000005
 88 1    5 6-0-1-0-0 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000005
 89 0    5 6-0-1-0-0 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000005
 90 1    5 6-0-1-0-0 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000005
 91 0    5 6-0-1-0-0 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000002 00000002 00000002 00000000 xxxxxxxx 00000010 x 00000005
